tileshape0,tileshape1,tileshape2,clustershape0,clustershape1,runtime(ms),GFLOPS,峰值性能占比,峰值性能989.4TFLOPS
128,128,128,4,4,2.80743,305971,0.30924904,
256,64,128,2,4,2.80844,305862,0.309138872,
256,64,128,1,16,2.82547,304018,0.307275116,
256,64,128,2,1,2.83089,303436,0.306686881,
128,128,128,8,2,2.83107,303417,0.306667677,
128,128,128,8,1,2.83424,303077,0.306324035,
64,64,32,8,1,2.84379,302060,0.305296139,
64,256,128,1,8,2.85326,301057,0.304282393,
64,128,32,1,1,2.86468,299857,0.303069537,
256,64,128,2,2,2.86794,299516,0.302724884,
64,64,32,1,16,2.9018,296021,0.29919244,
64,256,16,2,2,2.90359,295838,0.299007479,
256,64,128,2,8,2.90498,295696,0.298863958,
64,256,32,2,8,2.90512,295683,0.298850819,
256,64,16,2,2,2.92213,293962,0.297111381,
128,128,32,1,2,2.9533,290859,0.293975136,
64,128,32,4,4,2.97181,289047,0.292143723,
256,64,128,4,2,3.00661,285701,0.288761876,
256,64,128,4,4,3.00717,285648,0.288708308,
64,64,32,16,1,3.01021,285360,0.288417223,
128,128,128,16,1,3.03209,283301,0.286336163,
64,256,32,2,2,3.05473,281201,0.284213665,
128,64,32,1,1,3.07152,279664,0.282660198,
64,64,128,2,8,3.08737,278228,0.281208813,
64,256,128,4,2,3.1036,276774,0.279739236,
64,64,32,2,1,3.11263,275971,0.278927633,
128,64,16,2,8,3.11645,275632,0.278585001,
128,64,16,1,8,3.11684,275598,0.278550637,
128,64,16,2,4,3.13713,273815,0.276748534,
256,64,128,8,2,3.15417,272336,0.275253689,
64,128,32,8,1,3.15946,271880,0.274792804,
64,128,32,2,4,3.17508,270542,0.273440469,
256,64,128,1,1,3.18138,270007,0.272899737,
64,128,32,4,2,3.19506,268851,0.271731352,
256,64,128,4,1,3.19864,268550,0.271427128,
128,64,32,1,4,3.19898,268521,0.271397817,
128,64,16,2,2,3.20249,268227,0.271100667,
128,64,16,4,4,3.2137,267291,0.270154639,
128,64,16,8,2,3.21946,266813,0.269671518,
128,128,32,2,1,3.22507,266349,0.269202547,
64,64,128,4,4,3.22651,266230,0.269082272,
64,128,32,8,2,3.22782,266122,0.268973115,
256,64,128,8,1,3.26982,262703,0.265517485,
64,128,32,2,8,3.2728,262464,0.265275925,
64,128,32,2,2,3.27338,262418,0.265229432,
128,64,16,4,2,3.28032,261862,0.264667475,
64,64,128,4,2,3.28085,261820,0.264625025,
64,64,128,2,4,3.28724,261312,0.264111583,
64,256,128,1,16,3.30057,260256,0.263044269,
128,64,64,1,4,3.30345,260029,0.262814837,
128,256,128,4,4,3.35154,256298,0.259043865,
64,64,128,8,2,3.35719,255867,0.258608247,
128,64,128,2,4,3.38283,253928,0.256648474,
128,64,128,4,2,3.39734,252843,0.25555185,
128,64,128,2,8,3.4178,251329,0.254021629,
128,128,16,4,4,3.41818,251302,0.25399434,
64,64,64,1,1,3.4203,251145,0.253835658,
64,128,32,4,1,3.435,250071,0.252750152,
128,256,128,1,4,3.4394,249751,0.252426723,
64,128,32,16,1,3.46877,247636,0.250289064,
128,64,128,1,16,3.51996,244035,0.246649485,
128,64,128,2,2,3.52898,243412,0.24601981,
128,64,128,4,4,3.54473,242330,0.244926218,
128,64,128,1,8,3.54551,242276,0.244871639,
128,64,16,1,4,3.55081,241915,0.244506772,
128,64,64,1,2,3.57915,240000,0.242571255,
128,128,16,4,2,3.6055,238246,0.240798464,
64,256,16,1,8,3.62407,237024,0.239563372,
256,64,128,16,1,3.63331,236422,0.238954922,
128,128,16,2,4,3.63392,236382,0.238914494,
64,64,64,8,2,3.64586,235608,0.238132201,
128,128,16,2,8,3.66411,234434,0.236945624,
128,128,64,1,1,3.67707,233608,0.236110774,
64,256,16,8,1,3.69247,232634,0.235126339,
256,64,16,8,1,3.70074,232114,0.234600768,
64,256,64,1,2,3.70393,231914,0.234398625,
64,256,16,1,4,3.78541,226922,0.229353143,
128,64,16,8,1,3.82436,224611,0.227017384,
64,256,16,1,2,3.84795,223234,0.225625632,
128,128,16,8,2,3.86755,222103,0.224482515,
64,64,32,1,1,3.87601,221618,0.223992319,
128,256,16,1,4,3.90571,219933,0.222289266,
128,64,128,8,2,3.91236,219559,0.221911259,
64,64,128,2,2,3.9328,218418,0.220758035,
64,128,128,1,2,3.96711,216529,0.218848797,
256,64,16,4,1,3.97089,216322,0.21863958,
64,128,128,1,4,4.0221,213569,0.215857085,
128,128,32,1,1,4.04579,212318,0.214592682,
256,64,16,2,1,4.07736,210674,0.212931069,
