N,M,K,T,GEMM0 Time (ms),GEMM1 Time (ms),Total Time (ms)
1024,4096,1024,1024,0.0913245,0.0912403,.1825648
1024,4096,1024,2048,0.0913446,0.201044,.2923886
1024,4096,1024,4096,0.0913219,0.444324,.5356459
1024,4096,1024,8192,0.0914224,0.840898,.9323204
1024,4096,2048,128,0.176893,0.0815872,.2584802
1024,4096,2048,1024,0.177164,0.0911424,.2683064
1024,4096,2048,2048,0.176874,0.202283,.379157
1024,4096,2048,4096,0.178137,0.445688,.623825
1024,4096,2048,8192,0.176892,0.842613,1.019505
1024,4096,4096,128,0.532228,0.0814157,.6136437
1024,4096,4096,1024,0.531398,0.0917536,.6231516
1024,4096,4096,2048,0.529709,0.201868,.731577
1024,4096,4096,4096,0.531399,0.443576,.974975
1024,4096,4096,8192,0.531398,0.844218,1.375616
1024,4096,8192,128,1.09596,0.0816915,1.1776515
1024,4096,8192,1024,1.09707,0.0914054,1.1884754
1024,4096,8192,2048,1.09624,0.20274,1.29898
1024,4096,8192,4096,1.0959,0.445885,1.541785
1024,4096,8192,8192,1.09714,0.842329,1.939469
1024,8192,128,128,0.0298042,0.0789654,.1087696
1024,8192,128,1024,0.0297194,0.235077,.2647964
1024,8192,128,2048,0.0298122,0.452483,.4822952
1024,8192,128,4096,0.0297437,0.872755,.9024987
1024,8192,128,8192,0.0297133,1.60237,1.6320833
1024,8192,1024,128,0.235055,0.0788624,.3139174
1024,8192,1024,1024,0.23366,0.233509,.467169
1024,8192,1024,2048,0.23499,0.451184,.686174
1024,8192,1024,4096,0.234102,0.873071,1.107173
1024,8192,1024,8192,0.234643,1.6091,1.843743
1024,8192,2048,128,0.473996,0.078888,.552884
1024,8192,2048,1024,0.473134,0.23472,.707854
1024,8192,2048,2048,0.474514,0.454341,.928855
1024,8192,2048,4096,0.475309,0.875485,1.350794
1024,8192,2048,8192,0.473151,1.60082,2.073971
1024,8192,4096,128,1.05558,0.0790189,1.1345989
1024,8192,4096,1024,1.05203,0.234972,1.287002
1024,8192,4096,2048,1.05484,0.454428,1.509268
1024,8192,4096,4096,1.05461,0.870579,1.925189
1024,8192,4096,8192,1.05443,1.60265,2.65708
1024,8192,8192,128,2.16136,0.0792806,2.2406406
1024,8192,8192,1024,2.15901,0.234645,2.393655
1024,8192,8192,2048,2.16333,0.451693,2.615023
1024,8192,8192,4096,2.16536,0.870147,3.035507
1024,8192,8192,8192,2.16226,1.59951,3.76177
